career_goal,required_skills,priority_courses,suggested_projects
Autonomous Mobile Robot (AMR) Engineer,C++;Python;Path Planning;ROS2,Các vấn đề hiện đại trong Kỹ thuật Robot;Đồ án ngành Kỹ thuật robot;Động học và động lực học Robot;Nhập môn công nghệ số và ứng dụng AI,Xe tự hành AGV trong nhà kho;Robot 4 bánh Omni với SLAM;Điều hướng ROS2 Humble
Autonomous Mobile Robot (AMR) Engineer,ROS2;SLAM;Python;Lidar,Đồ án ngành Kỹ thuật robot;Nhập môn công nghệ số và ứng dụng AI;Các vấn đề hiện đại trong Kỹ thuật Robot;Động học và động lực học Robot,Robot 4 bánh Omni với SLAM;Xe tự hành AGV trong nhà kho
Automation PLC Engineer,AutoCAD Electrical;Power Electronics;HMI;Control,Các vấn đề hiện đại trong Kỹ thuật Robot;Điện tử công suất và điều khiển;Toán ứng dụng trong kỹ thuật Robot;Điều khiển logic và PLC,Điều khiển động cơ;Băng tải phân loại
IoT Robotics Engineer,MQTT;C/C++;Python;Node-RED;WiFi/Bluetooth,Cảm biến và đo lường;Các vấn đề hiện đại trong Kỹ thuật Robot;Vi điều khiển và ứng dụng;Nhập môn công nghệ số và ứng dụng AI,Nhà thông minh với robot hút bụi;Giám sát robot từ xa qua MQTT
Mobile Robotics Developer,Ubuntu;C++;SLAM;Navigation2,Động học và động lực học Robot;Các vấn đề hiện đại trong Kỹ thuật Robot;Đồ án ngành Kỹ thuật robot,Robot 4 bánh Omni với SLAM;Điều hướng ROS2 Humble
IoT Robotics Engineer,Cloud/AWS;Python;IoT Protocols;WiFi/Bluetooth,Nhập môn công nghệ số và ứng dụng AI;Các vấn đề hiện đại trong Kỹ thuật Robot;Vi điều khiển và ứng dụng,Nhà thông minh với robot hút bụi;Giám sát robot từ xa qua MQTT
Microcontroller Programmer,Microcontroller;Sensor;I2C/SPI/UART;C/C++;FreeRTOS,Đồ án ngành Kỹ thuật robot;Cảm biến và đo lường;Điện tử công suất và điều khiển,Xe điều khiển PID;Bộ lọc số IIR/FIR cho cảm biến;Giao tiếp cảm biến IMU
Mobile Robotics Developer,Lidar;Navigation2;Path Planning;Python;ROS2,Động học và động lực học Robot;Các vấn đề hiện đại trong Kỹ thuật Robot;Đồ án ngành Kỹ thuật robot;Nhập môn công nghệ số và ứng dụng AI,Điều hướng ROS2 Humble;Robot 4 bánh Omni với SLAM;Xe tự hành AGV trong nhà kho
SCADA Systems Engineer,AutoCAD Electrical;Power Electronics;PLC;SCADA;Control;Industrial Networks,Điện tử công suất và điều khiển;Điều khiển logic và PLC;Các vấn đề hiện đại trong Kỹ thuật Robot,Mô phỏng trạm trộn nguyên liệu;Điều khiển tay máy công nghiệp;Điều khiển động cơ
Cloud Robotics Developer,Python;Cloud/AWS;MQTT;IoT Protocols;Node-RED,Vi điều khiển và ứng dụng;Cảm biến và đo lường;Nhập môn công nghệ số và ứng dụng AI;Các vấn đề hiện đại trong Kỹ thuật Robot,Robot điều khiển qua Web;Giám sát robot từ xa qua MQTT;Nhà thông minh với robot hút bụi
Embedded Systems Developer,FreeRTOS;I2C/SPI/UART;Microcontroller;Sensor;Control,Điện tử công suất và điều khiển;Cảm biến và đo lường;Vi điều khiển và ứng dụng,Bộ lọc số IIR/FIR cho cảm biến;Firmware cho STM32F401RE;Xe điều khiển PID
Cloud Robotics Developer,Cloud/AWS;C/C++;IoT Protocols;Node-RED;MQTT,Nhập môn công nghệ số và ứng dụng AI;Cảm biến và đo lường;Các vấn đề hiện đại trong Kỹ thuật Robot,Nhà thông minh với robot hút bụi;Robot điều khiển qua Web
Smart Home Robotics Specialist,WiFi/Bluetooth;IoT Protocols;Cloud/AWS;MQTT,Vi điều khiển và ứng dụng;Các vấn đề hiện đại trong Kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI;Cảm biến và đo lường,Nhà thông minh với robot hút bụi;Robot điều khiển qua Web
Embedded Robotics Engineer,Control;STM32;C/C++;FreeRTOS;I2C/SPI/UART,Xử lý tín hiệu số;Cảm biến và đo lường;Điện tử công suất và điều khiển;Đồ án ngành Kỹ thuật robot,Bộ lọc số IIR/FIR cho cảm biến;Xe điều khiển PID
Robot Control Engineer,ROS2;Dynamics;MATLAB/Simulink;Python;Kinematics,Tương tác người - Robot;Toán ứng dụng trong kỹ thuật Robot;Lý thuyết điều khiển;Động học và động lực học Robot,Mô hình hoá động lực học robot;Mô phỏng tay máy 6 bậc tự do
Robot Control Engineer,MATLAB/Simulink;C++;ROS2;Kinematics;Dynamics;PID Tuning,Động học và động lực học Robot;Tương tác người - Robot;Toán ứng dụng trong kỹ thuật Robot;Lý thuyết điều khiển,Mô phỏng tay máy 6 bậc tự do;Hoạch định quỹ đạo tay máy;Mô hình hoá động lực học robot
Cloud Robotics Developer,IoT Protocols;WiFi/Bluetooth;Node-RED;C/C++;Python;Cloud/AWS,Các vấn đề hiện đại trong Kỹ thuật Robot;Vi điều khiển và ứng dụng;Nhập môn công nghệ số và ứng dụng AI;Cảm biến và đo lường,Giám sát robot từ xa qua MQTT;Nhà thông minh với robot hút bụi;Robot điều khiển qua Web
SCADA Systems Engineer,PLC;Industrial Networks;Power Electronics;Control;AutoCAD Electrical,Toán ứng dụng trong kỹ thuật Robot;Điện tử công suất và điều khiển;Điều khiển logic và PLC;Các vấn đề hiện đại trong Kỹ thuật Robot,Hệ thống đóng gói tự động;Băng tải phân loại;Điều khiển tay máy công nghiệp
Embedded Systems Developer,FreeRTOS;Microcontroller;Sensor;I2C/SPI/UART;C/C++;STM32,Xử lý tín hiệu số;Đồ án ngành Kỹ thuật robot;Cảm biến và đo lường,Firmware cho STM32F401RE;Giao tiếp cảm biến IMU;Bộ lọc số IIR/FIR cho cảm biến
Navigation Algorithm Engineer,SLAM;ROS2;Python;Ubuntu,Nhập môn công nghệ số và ứng dụng AI;Các vấn đề hiện đại trong Kỹ thuật Robot;Đồ án ngành Kỹ thuật robot,Robot 4 bánh Omni với SLAM;Điều hướng ROS2 Humble
Machine Learning Engineer (Robotics),ROS2;ML;Python;PyTorch;TensorFlow;OpenCV,Nhập môn công nghệ số và ứng dụng AI;Toán ứng dụng trong kỹ thuật Robot;Các vấn đề hiện đại trong Kỹ thuật Robot;Tương tác người - Robot,Hệ thống tracking camera;Robot nhận diện vật thể;Nhận diện hành vi con người
Embedded Robotics Engineer,C/C++;I2C/SPI/UART;Sensor;Microcontroller;STM32;Control,Đồ án ngành Kỹ thuật robot;Xử lý tín hiệu số;Cảm biến và đo lường,Firmware cho STM32F401RE;Bộ lọc số IIR/FIR cho cảm biến;Xe điều khiển PID
PLC Programmer,SCADA;Power Electronics;AutoCAD Electrical;PLC;HMI,Toán ứng dụng trong kỹ thuật Robot;Các vấn đề hiện đại trong Kỹ thuật Robot;Điện tử công suất và điều khiển;Điều khiển logic và PLC,Hệ thống đóng gói tự động;Điều khiển tay máy công nghiệp
Firmware Engineer,I2C/SPI/UART;Control;Sensor;STM32,Vi điều khiển và ứng dụng;Cảm biến và đo lường;Xử lý tín hiệu số,Xe điều khiển PID;Firmware cho STM32F401RE
Computer Vision Engineer,SLAM;C++;Python;ML;TensorFlow;OpenCV,Toán ứng dụng trong kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI;Các vấn đề hiện đại trong Kỹ thuật Robot,Robot nhận diện vật thể;Robot tự hành mô phỏng;Hệ thống tracking camera
PLC Programmer,PLC;HMI;SCADA;Control;AutoCAD Electrical;Industrial Networks,Toán ứng dụng trong kỹ thuật Robot;Điện tử công suất và điều khiển;Các vấn đề hiện đại trong Kỹ thuật Robot,Mô phỏng trạm trộn nguyên liệu;Điều khiển động cơ
SCADA Systems Engineer,Power Electronics;HMI;AutoCAD Electrical;SCADA,Toán ứng dụng trong kỹ thuật Robot;Điều khiển logic và PLC;Các vấn đề hiện đại trong Kỹ thuật Robot,Điều khiển tay máy công nghiệp;Điều khiển động cơ;Mô phỏng trạm trộn nguyên liệu
Cloud Robotics Developer,Node-RED;Python;C/C++;IoT Protocols;WiFi/Bluetooth,Các vấn đề hiện đại trong Kỹ thuật Robot;Cảm biến và đo lường;Nhập môn công nghệ số và ứng dụng AI,Giám sát robot từ xa qua MQTT;Nhà thông minh với robot hút bụi
SCADA Systems Engineer,Control;PLC;AutoCAD Electrical;Industrial Networks,Điều khiển logic và PLC;Điện tử công suất và điều khiển;Các vấn đề hiện đại trong Kỹ thuật Robot;Toán ứng dụng trong kỹ thuật Robot,Băng tải phân loại;Mô phỏng trạm trộn nguyên liệu
Embedded Systems Developer,Microcontroller;STM32;I2C/SPI/UART;Control,Đồ án ngành Kỹ thuật robot;Điện tử công suất và điều khiển;Vi điều khiển và ứng dụng;Cảm biến và đo lường,Xe điều khiển PID;Firmware cho STM32F401RE
Cloud Robotics Developer,Cloud/AWS;C/C++;MQTT;WiFi/Bluetooth;IoT Protocols,Vi điều khiển và ứng dụng;Cảm biến và đo lường;Các vấn đề hiện đại trong Kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI,Giám sát robot từ xa qua MQTT;Robot điều khiển qua Web;Nhà thông minh với robot hút bụi
PLC Programmer,SCADA;HMI;Control;Power Electronics;PLC,Điều khiển logic và PLC;Điện tử công suất và điều khiển;Toán ứng dụng trong kỹ thuật Robot,Băng tải phân loại;Hệ thống đóng gói tự động;Điều khiển động cơ
Navigation Algorithm Engineer,Python;Lidar;ROS2;C++,Các vấn đề hiện đại trong Kỹ thuật Robot;Động học và động lực học Robot;Đồ án ngành Kỹ thuật robot,Xe tự hành AGV trong nhà kho;Điều hướng ROS2 Humble;Thuật toán tránh vật cản
Embedded Robotics Engineer,Control;STM32;FreeRTOS;Microcontroller;Sensor;I2C/SPI/UART,Xử lý tín hiệu số;Cảm biến và đo lường;Đồ án ngành Kỹ thuật robot;Vi điều khiển và ứng dụng,Bộ lọc số IIR/FIR cho cảm biến;Firmware cho STM32F401RE;Xe điều khiển PID
Embedded Systems Developer,Sensor;FreeRTOS;I2C/SPI/UART;Microcontroller;Control,Điện tử công suất và điều khiển;Vi điều khiển và ứng dụng;Đồ án ngành Kỹ thuật robot,Bộ lọc số IIR/FIR cho cảm biến;Giao tiếp cảm biến IMU;Xe điều khiển PID
Cloud Robotics Developer,MQTT;C/C++;Cloud/AWS;Node-RED;WiFi/Bluetooth;Python,Cảm biến và đo lường;Vi điều khiển và ứng dụng;Các vấn đề hiện đại trong Kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI,Giám sát robot từ xa qua MQTT;Nhà thông minh với robot hút bụi
Microcontroller Programmer,C/C++;Sensor;I2C/SPI/UART;Microcontroller;STM32,Xử lý tín hiệu số;Cảm biến và đo lường;Vi điều khiển và ứng dụng;Điện tử công suất và điều khiển,Bộ lọc số IIR/FIR cho cảm biến;Giao tiếp cảm biến IMU
Vision-based Robotics Engineer,SLAM;ML;C++;ROS2;Python,Tương tác người - Robot;Toán ứng dụng trong kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI;Các vấn đề hiện đại trong Kỹ thuật Robot,Hệ thống tracking camera;Robot tự hành mô phỏng;Robot nhận diện vật thể
IoT Robotics Engineer,MQTT;IoT Protocols;C/C++;Python,Cảm biến và đo lường;Các vấn đề hiện đại trong Kỹ thuật Robot;Vi điều khiển và ứng dụng;Nhập môn công nghệ số và ứng dụng AI,Giám sát robot từ xa qua MQTT;Nhà thông minh với robot hút bụi;Robot điều khiển qua Web
